sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.0245;0.2807;9.5738;0.0;;;;NaN;;;;0 / 0;112009;2018-04-04 20:29:14:575
0.0233;0.4555;9.5972;0.0;;;;NaN;;;;0 / 0;112507;2018-04-04 20:29:15:073
0.103;0.7452;9.7246;0.0;;;;NaN;;;;0 / 0;113006;2018-04-04 20:29:15:572
0.1161;0.7895;9.7636;0.0;;;;NaN;;;;0 / 0;113507;2018-04-04 20:29:16:073
0.0539;0.6524;9.6223;0.0;;;;NaN;;;;0 / 0;114007;2018-04-04 20:29:16:573
-0.0215;0.4292;9.6929;0.0;;;;NaN;;;;0 / 0;114507;2018-04-04 20:29:17:073
-0.0389;0.2861;9.7594;0.0;;;;NaN;;;;0 / 0;115007;2018-04-04 20:29:17:573
-0.0126;0.3681;9.6253;0.0;;;;NaN;;;;0 / 0;115506;2018-04-04 20:29:18:072
0.0132;0.5058;9.5493;0.0;;;;NaN;;;;0 / 0;116006;2018-04-04 20:29:18:572
0.0718;0.7386;9.6103;0.0;;;;NaN;;;;0 / 0;116506;2018-04-04 20:29:19:072
0.1365;0.8152;9.739;0.0;;;;NaN;;;;0 / 0;117006;2018-04-04 20:29:19:572
0.073;0.6015;9.8336;0.0;;;;NaN;;;;0 / 0;117507;2018-04-04 20:29:20:073
-0.0269;0.3466;9.6792;0.0;;;;NaN;;;;0 / 0;118006;2018-04-04 20:29:20:572
-0.0515;0.2939;9.6085;0.0;;;;NaN;;;;0 / 0;118507;2018-04-04 20:29:21:073
-0.0186;0.3262;9.5702;0.0;;;;NaN;;;;0 / 0;119007;2018-04-04 20:29:21:573
0.0569;0.5608;9.5834;0.0;;;;NaN;;;;0 / 0;119506;2018-04-04 20:29:22:072
0.1341;0.8194;9.572;0.0;;;;NaN;;;;0 / 0;120006;2018-04-04 20:29:22:572
0.1437;0.7991;9.6947;0.0;;;;NaN;;;;0 / 0;120506;2018-04-04 20:29:23:072
0.0862;0.6518;9.7252;0.0;;;;NaN;;;;0 / 0;121007;2018-04-04 20:29:23:573
-0.0215;0.2855;9.7905;0.0;;;;NaN;;;;0 / 0;121507;2018-04-04 20:29:24:073
