sep=;;;;;;;;;;;;;;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
1.1899;2.5857;9.5912;8;40.31;NaN;0 / 0;74015;2018-04-04 20:28:43:661;;;;;;
0.978;2.5199;9.6163;8;55.909;NaN;0 / 0;74516;2018-04-04 20:28:44:162;;;;;;
0.3041;2.6947;9.3039;8;38.126;NaN;0 / 0;75016;2018-04-04 20:28:44:662;;;;;;
0.1413;2.9939;9.1087;8;47.261;NaN;0 / 0;75516;2018-04-04 20:28:45:162;;;;;;
0.5136;2.8323;9.2955;8;37.742;NaN;0 / 0;76016;2018-04-04 20:28:45:662;;;;;;
0.7889;2.7186;9.4152;8;37.327;NaN;0 / 0;76516;2018-04-04 20:28:46:162;;;;;;
1.1181;2.5474;9.5253;8;37.358;NaN;0 / 0;77016;2018-04-04 20:28:46:662;;;;;;
0.8751;2.5917;9.4092;8;41.547;NaN;0 / 0;77516;2018-04-04 20:28:47:162;;;;;;
0.4597;2.8635;9.3673;8;40.495;NaN;0 / 0;78016;2018-04-04 20:28:47:662;;;;;;
0.3136;2.9245;9.3541;8;40.559;NaN;0 / 0;78516;2018-04-04 20:28:48:162;;;;;;
0.3352;2.8072;9.3134;8;39.494;NaN;0 / 0;79015;2018-04-04 20:28:48:661;;;;;;
0.6428;2.7785;9.3649;8;44.286;NaN;0 / 0;79516;2018-04-04 20:28:49:162;;;;;;
0.9062;2.6827;9.4367;8;43.12;NaN;0 / 0;80016;2018-04-04 20:28:49:662;;;;;;
0.9278;2.5809;9.4834;8;38.804;NaN;0 / 0;80516;2018-04-04 20:28:50:162;;;;;;
0.7015;2.6588;9.4715;8;57.597;NaN;0 / 0;81016;2018-04-04 20:28:50:662;;;;;;
0.4286;2.7821;9.2261;8;57.711;NaN;0 / 0;81515;2018-04-04 20:28:51:161;;;;;;
0.261;2.9042;9.2644;8;45.153;NaN;0 / 0;82016;2018-04-04 20:28:51:662;;;;;;
0.3436;2.9066;9.4595;8;36.738;NaN;0 / 0;82516;2018-04-04 20:28:52:162;;;;;;
0.7673;2.6408;9.4966;8;36.727;NaN;0 / 0;83016;2018-04-04 20:28:52:662;;;;;;
0.9984;2.49;9.4248;8;38.294;NaN;0 / 0;83516;2018-04-04 20:28:53:162;;;;;;
0.6656;2.6887;9.3111;8;41.684;NaN;0 / 0;84016;2018-04-04 20:28:53:662;;;;;;
0.4561;2.8132;9.3134;8;44.035;NaN;0 / 0;84516;2018-04-04 20:28:54:162;;;;;;
0.395;2.7988;9.4703;8;56.562;NaN;0 / 0;85016;2018-04-04 20:28:54:662;;;;;;
0.4262;2.7689;9.4068;8;50.131;NaN;0 / 0;85516;2018-04-04 20:28:55:162;;;;;;
0.7111;2.6671;9.3182;8;36.128;NaN;0 / 0;86016;2018-04-04 20:28:55:662;;;;;;
0.8811;2.6049;9.4523;8;36.739;NaN;0 / 0;86516;2018-04-04 20:28:56:162;;;;;;
0.808;2.6169;9.5217;8;38.516;NaN;0 / 0;87016;2018-04-04 20:28:56:662;;;;;;
0.6285;2.7497;9.4487;8;38.45;NaN;0 / 0;87516;2018-04-04 20:28:57:162;;;;;;
0.4357;2.7809;9.3302;8;59.351;NaN;0 / 0;88016;2018-04-04 20:28:57:662;;;;;;
0.2837;2.7485;9.2261;8;62.484;NaN;0 / 0;88516;2018-04-04 20:28:58:162;;;;;;
0.4525;2.7138;9.2823;8;38.737;NaN;0 / 0;89016;2018-04-04 20:28:58:662;;;;;;
0.8715;2.6468;9.4894;8;62.208;NaN;0 / 0;89516;2018-04-04 20:28:59:162;;;;;;
0.9337;2.6169;9.5457;8;58.188;NaN;0 / 0;90016;2018-04-04 20:28:59:662;;;;;;
0.8224;2.636;9.3996;8;37.033;NaN;0 / 0;90516;2018-04-04 20:29:00:162;;;;;;
0.5243;2.7665;9.3996;8;37.931;NaN;0 / 0;91016;2018-04-04 20:29:00:662;;;;;;
0.2933;2.8611;9.4188;8;35.307;NaN;0 / 0;91516;2018-04-04 20:29:01:162;;;;;;
0.3376;2.7773;9.3134;8;35.12;NaN;0 / 0;92016;2018-04-04 20:29:01:662;;;;;;
0.5076;2.7031;9.2727;8;35.507;NaN;0 / 0;92516;2018-04-04 20:29:02:162;;;;;;
0.808;2.6671;9.3661;8;48.272;NaN;0 / 0;93016;2018-04-04 20:29:02:662;;;;;;
0.9625;2.5821;9.572;8;57.515;NaN;0 / 0;93516;2018-04-04 20:29:03:162;;;;;;
0.7207;2.6588;9.5756;8;54.092;NaN;0 / 0;94016;2018-04-04 20:29:03:662;;;;;;
0.4764;2.8012;9.4427;8;41.398;NaN;0 / 0;94516;2018-04-04 20:29:04:162;;;;;;
0.2693;2.879;9.2739;8;37.685;NaN;0 / 0;95016;2018-04-04 20:29:04:662;;;;;;
0.3172;2.745;9.268;8;57.117;NaN;0 / 0;95516;2018-04-04 20:29:05:162;;;;;;
0.6345;2.6719;9.347;8;51.517;NaN;0 / 0;96016;2018-04-04 20:29:05:662;;;;;;
0.8871;2.6528;9.3685;8;45.251;NaN;0 / 0;96516;2018-04-04 20:29:06:162;;;;;;
0.9792;2.5666;9.5038;8;48.63;NaN;0 / 0;97016;2018-04-04 20:29:06:662;;;;;;
0.7434;2.6683;9.4751;8;49.306;NaN;0 / 0;97515;2018-04-04 20:29:07:161;;;;;;
0.328;2.8551;9.396;8;37.285;NaN;0 / 0;98016;2018-04-04 20:29:07:662;;;;;;
0.1939;2.9365;9.4403;8;34.766;NaN;0 / 0;98516;2018-04-04 20:29:08:162;;;;;;
0.3998;2.7857;9.3589;8;35.341;NaN;0 / 0;99016;2018-04-04 20:29:08:662;;;;;;
0.6524;2.7497;9.2344;8;38.472;NaN;0 / 0;99516;2018-04-04 20:29:09:162;;;;;;
0.6728;2.7701;9.4763;8;44.987;NaN;0 / 0;100016;2018-04-04 20:29:09:662;;;;;;
0.6141;2.8539;9.42;8;40.908;NaN;0 / 0;100516;2018-04-04 20:29:10:162;;;;;;
0.5387;2.7318;9.396;8;34.845;NaN;0 / 0;101016;2018-04-04 20:29:10:662;;;;;;
0.3771;2.8264;9.4547;8;36.303;NaN;0 / 0;101516;2018-04-04 20:29:11:162;;;;;;
0.3388;2.8659;9.2751;8;35.204;NaN;0 / 0;102016;2018-04-04 20:29:11:662;;;;;;
0.5351;2.7557;9.2608;8;36.277;NaN;0 / 0;102516;2018-04-04 20:29:12:162;;;;;;
0.7721;2.5905;9.4403;8;39.659;NaN;0 / 0;103016;2018-04-04 20:29:12:662;;;;;;
0.7326;2.7054;9.5014;8;36.144;NaN;0 / 0;103516;2018-04-04 20:29:13:162;;;;;;
0.6644;2.7497;9.3984;8;36.569;NaN;0 / 0;104016;2018-04-04 20:29:13:662;;;;;;
0.5052;2.7222;9.3697;8;36.497;NaN;0 / 0;104516;2018-04-04 20:29:14:162;;;;;;
0.3867;2.8168;9.4391;8;37.553;NaN;0 / 0;105016;2018-04-04 20:29:14:662;;;;;;
0.4238;2.909;9.4344;8;36.476;NaN;0 / 0;105516;2018-04-04 20:29:15:162;;;;;;
0.5926;2.6743;9.2428;8;35.936;NaN;0 / 0;106016;2018-04-04 20:29:15:662;;;;;;
0.7386;2.5379;9.3278;8;38.653;NaN;0 / 0;106516;2018-04-04 20:29:16:162;;;;;;
0.7099;2.6947;9.5565;8;38.649;NaN;0 / 0;107015;2018-04-04 20:29:16:661;;;;;;
0.5315;2.8096;9.4008;8;36.068;NaN;0 / 0;107516;2018-04-04 20:29:17:162;;;;;;
0.4872;2.7258;9.4248;8;36.999;NaN;0 / 0;108016;2018-04-04 20:29:17:662;;;;;;
0.4238;2.7378;9.4355;8;39.77;NaN;0 / 0;108516;2018-04-04 20:29:18:162;;;;;;
0.4357;2.7378;9.2237;8;37.174;NaN;0 / 0;109016;2018-04-04 20:29:18:662;;;;;;
0.6548;2.6707;9.335;8;36.31;NaN;0 / 0;109515;2018-04-04 20:29:19:161;;;;;;
0.723;2.7222;9.5074;8;37.43;NaN;0 / 0;110016;2018-04-04 20:29:19:662;;;;;;
0.6153;2.7725;9.4691;8;38.262;NaN;0 / 0;110516;2018-04-04 20:29:20:162;;;;;;
0.346;2.8144;9.3865;8;36.693;NaN;0 / 0;111016;2018-04-04 20:29:20:662;;;;;;
0.2921;2.8862;9.3829;8;36.202;NaN;0 / 0;111516;2018-04-04 20:29:21:162;;;;;;
0.3388;2.8886;9.3553;8;46.348;NaN;0 / 0;112016;2018-04-04 20:29:21:662;;;;;;
0.4034;2.8395;9.232;8;52.403;NaN;0 / 0;112516;2018-04-04 20:29:22:162;;;;;;
0.6369;2.8024;9.3913;8;55.812;NaN;0 / 0;113016;2018-04-04 20:29:22:662;;;;;;
0.7219;2.7725;9.5852;8;48.144;NaN;0 / 0;113516;2018-04-04 20:29:23:162;;;;;;
0.3244;2.8276;9.4116;8;35.749;NaN;0 / 0;114016;2018-04-04 20:29:23:662;;;;;;
0.2298;2.9341;9.2811;8;35.227;NaN;0 / 0;114516;2018-04-04 20:29:24:162;;;;;;
0.3615;2.8826;9.3158;8;37.972;NaN;0 / 0;115016;2018-04-04 20:29:24:662;;;;;;
0.3783;2.8;9.3529;8;37.053;NaN;0 / 0;115515;2018-04-04 20:29:25:161;;;;;;
0.4645;2.8671;9.2955;8;37.549;NaN;0 / 0;116016;2018-04-04 20:29:25:662;;;;;;
0.5974;2.8108;9.3757;8;35.894;NaN;0 / 0;116516;2018-04-04 20:29:26:162;;;;;;
